name|owner|primaryLanguage|createdAt|updatedAt|url|popularity|cbo|dit|lcom|loc|compositeScore
Android_Data|Freelander|Java|2015-04-04T01:37:44Z|2025-03-22T16:34:50Z|https://github.com/Freelander/Android_Data|8770|2|1|3|116|0.16788663185010666
awesome-java-leetcode|Blankj|Java|2017-04-17T15:51:41Z|2025-03-24T08:06:52Z|https://github.com/Blankj/awesome-java-leetcode|8708|1.68|1|1.17|1772|0.16431647047964532
Android-PullToRefresh|chrisbanes|Java|2011-11-29T09:59:56Z|2025-03-19T08:13:02Z|https://github.com/chrisbanes/Android-PullToRefresh|8701|6.02|2.11|55.84|3567|0.2632530624454122
jmeter|apache|Java|2010-05-26T23:38:07Z|2025-03-24T10:45:38Z|https://github.com/apache/jmeter|8654|5.5|2|62.17|127441|0.252423580202046
jna|java-native-access|Java|2011-04-29T13:30:29Z|2025-03-24T06:00:44Z|https://github.com/java-native-access/jna|8654|4.88|2.53|44.94|106756|0.26967656576301774
Android-SpinKit|ybq|Java|2016-03-20T08:40:51Z|2025-03-18T11:38:05Z|https://github.com/ybq/Android-SpinKit|8650|4.82|3.17|21.52|1812|0.29820546190272706
flyway|flyway|Java|2012-12-14T18:43:22Z|2025-03-24T10:41:06Z|https://github.com/flyway/flyway|8629|6.09|1.53|52.91|31256|0.2376162800909853
AndResGuard|shwenzhang|Java|2015-10-11T11:48:06Z|2025-03-24T09:11:14Z|https://github.com/shwenzhang/AndResGuard|8585|3.53|1.5|22.38|6506|0.20771656458086185
Calligraphy|chrisjenx|Java|2013-12-20T02:35:45Z|2025-03-22T10:18:48Z|https://github.com/chrisjenx/Calligraphy|8584|5.72|1.44|11.36|968|0.229458329853369
buck|facebook|Java|2013-04-17T18:12:18Z|2025-03-24T08:57:13Z|https://github.com/facebook/buck|8558|8.05|1.38|28.99|297458|0.25271240951058543
shenyu|apache|Java|2018-07-11T08:17:45Z|2025-03-24T07:02:47Z|https://github.com/apache/shenyu|8556|5.5|1.25|24.16|75592|0.21832275405426266
epoxy|airbnb|Java|2016-08-08T23:05:11Z|2025-03-23T04:27:32Z|https://github.com/airbnb/epoxy|8538|7.2|1.81|138.77|43286|0.26261484050355743
junit4|junit-team|Java|2009-01-13T03:41:26Z|2025-03-23T15:04:44Z|https://github.com/junit-team/junit4|8531|3.87|1.46|12.96|32946|0.2097077903715268
react-native-image-picker|react-native-image-picker|Java|2015-06-08T20:25:31Z|2025-03-23T06:38:34Z|https://github.com/react-native-image-picker/react-native-image-picker|8528|6.18|1.55|66.18|811|0.23950881807881405
dropwizard|dropwizard|Java|2011-01-19T19:52:29Z|2025-03-24T03:49:55Z|https://github.com/dropwizard/dropwizard|8525|5.96|1.51|19.18|39928|0.23531352665536737
checkstyle|checkstyle|Java|2013-08-31T02:05:05Z|2025-03-24T11:17:11Z|https://github.com/checkstyle/checkstyle|8523|||||0.1
karate|karatelabs|Java|2017-02-07T15:59:17Z|2025-03-24T10:02:50Z|https://github.com/karatelabs/karate|8498|6.63|1.21|115.28|40088|0.22895669167897592
Android-Debug-Database|amitshekhariitbhu|Java|2016-11-16T14:20:24Z|2025-03-23T12:31:45Z|https://github.com/amitshekhariitbhu/Android-Debug-Database|8465|4.15|1.28|8.8|2393|0.20464149328797343
BottomBar|roughike|Java|2016-03-16T01:31:05Z|2025-03-24T08:08:41Z|https://github.com/roughike/BottomBar|8406|4.91|1.29|61.67|2834|0.21348973176354993
